height, expanded nodes, train_precision, test_precision
3,24,0.8312101910828026,0.7718120805369127
3,24,0.8548387096774194,0.7986577181208053
3,25,0.8336252189141856,0.7933333333333333
3,24,0.8012326656394453,0.7880794701986755
3,23,0.8134796238244514,0.757396449704142
3,24,0.8289473684210527,0.779874213836478
3,28,0.8656716417910447,0.8435374149659864
3,25,0.8354838709677419,0.7612903225806451
3,24,0.8136942675159236,0.8064516129032258
3,27,0.8207547169811321,0.7733333333333333
3,28,0.8432,0.7254901960784313
3,23,0.8240601503759398,0.6751592356687898
3,28,0.8325123152709359,0.7792207792207793
3,22,0.8568840579710145,0.7655172413793103
3,24,0.8374384236453202,0.7583892617449665
3,24,0.8358458961474037,0.7828947368421053
3,25,0.8639455782312925,0.7482517482517482
3,31,0.8617594254937163,0.8014184397163121
3,24,0.8288,0.7697368421052632
3,27,0.84185303514377,0.75
3,25,0.8319870759289176,0.7763157894736842
4,64,0.8941176470588236,0.7659574468085106
4,63,0.8784246575342466,0.762589928057554
4,67,0.9144851657940664,0.773972602739726
4,65,0.8921739130434783,0.82
4,68,0.911190053285968,0.8
4,63,0.8960138648180243,0.7905405405405406
4,65,0.9207207207207208,0.7969924812030075
4,62,0.9117647058823529,0.8656716417910447
4,71,0.9103690685413005,0.8161764705882353
4,71,0.9260628465804066,0.8248175182481752
4,64,0.9034941763727121,0.6993464052287581
4,69,0.9312267657992565,0.8571428571428571
4,64,0.9087779690189329,0.7708333333333334
4,69,0.9037800687285223,0.7898550724637681
4,66,0.9275092936802974,0.7986111111111112
4,58,0.9242685025817556,0.7142857142857143
4,65,0.8986710963455149,0.7664233576642335
4,66,0.9020618556701031,0.7677419354838709
4,74,0.9309090909090909,0.795774647887324
4,73,0.9166666666666666,0.873015873015873
4,65,0.9190140845070423,0.7642857142857142
4,63,0.8993174061433447,0.7448275862068966
4,67,0.91651865008881,0.7872340425531915
4,73,0.9030694668820679,0.6993464052287581
4,65,0.9166666666666666,0.8321678321678322
4,62,0.926873857404022,0.7692307692307693
4,62,0.9165247018739353,0.7205882352941176
4,57,0.9257142857142857,0.8088235294117647
4,75,0.9228007181328546,0.8333333333333334
4,63,0.9040139616055847,0.7763157894736842
4,66,0.8842281879194631,0.8079470198675497
4,73,0.9139414802065404,0.7803030303030303
4,61,0.9320214669051878,0.7272727272727273
4,61,0.9121265377855887,0.7908496732026143
4,63,0.9136690647482014,0.7638888888888888
4,66,0.9187725631768953,0.8029197080291971
4,71,0.9083191850594228,0.7697841726618705
